id,created_at,Tweets,Tweets_final,tokens,Subjectivity,Polarity,Positive,Negative,Neutral,Label
1375752362241925126,2021-03-27 10:11:38,Being alive and healthy is the privilege,alive healthy privilege,"['alive', 'healthy', 'privilege']",0.45,0.3,1,0,0,1
1375752224899440648,2021-03-27 10:11:05,When you join AWS as an intern or recent graduate you’ll have the chance for your voice to not just be heard—but to be ampli…,join aws intern recent graduate ’ chance voice heard—but ampli…,"['join', 'aws', 'intern', 'recent', 'graduate', '’', 'chance', 'voice', 'heard—but', 'ampli…']",0.25,0.0,0,0,1,0
1375752108494843906,2021-03-27 10:10:37,All those in favor of a short snack break say “aye”,favor short snack break say “ aye ”,"['favor', 'short', 'snack', 'break', 'say', '“', 'aye', '”']",0.3,0.0,0,0,1,0
1375752042258386947,2021-03-27 10:10:21,men are horrible ok i never feel bad when i see males upset over men are trash posts like pack it up sir httpstcoD…,men horrible ok never feel bad see males upset men trash posts like pack sir httpstcod…,"['men', 'horrible', 'ok', 'never', 'feel', 'bad', 'see', 'males', 'upset', 'men', 'trash', 'posts', 'like', 'pack', 'sir', 'httpstcod…']",0.7222222222222222,-0.3999999999999999,0,1,0,-1
1375751987996729346,2021-03-27 10:10:08,how are you going to try and tell me a trans person that im sensitive for being upset that a cc i watched supports a transp…,going try tell trans person im sensitive upset cc watched supports transp…,"['going', 'try', 'tell', 'trans', 'person', 'im', 'sensitive', 'upset', 'cc', 'watched', 'supports', 'transp…']",0.9,0.1,1,0,0,1
1375751961102802946,2021-03-27 10:10:02,can people who arent trans stop telling us that were sensetive and shit like that  like we have every right to be upset tha…,people arent trans stop telling us sensetive shit like like every right upset tha…,"['people', 'arent', 'trans', 'stop', 'telling', 'us', 'sensetive', 'shit', 'like', 'like', 'every', 'right', 'upset', 'tha…']",0.6678571428571429,0.042857142857142844,1,0,0,1
1375751949606219784,2021-03-27 10:09:59,I think more people need to ask themselves When they say “twitter is going to be upset abt this” are they Actually sayin…,think people need ask say “ twitter going upset abt ” actually sayin…,"['think', 'people', 'need', 'ask', 'say', '“', 'twitter', 'going', 'upset', 'abt', '”', 'actually', 'sayin…']",0.1,0.0,0,0,1,0
1375751938256474115,2021-03-27 10:09:56,"When you win be kind
When you are ignored be kind
When you are stuck be kind
When you are upset be kind
When disapp…",win kind ignored kind stuck kind upset kind disapp…,"['win', 'kind', 'ignored', 'kind', 'stuck', 'kind', 'upset', 'kind', 'disapp…']",0.8,0.64,1,0,0,1
1375751903624130565,2021-03-27 10:09:48,dream streams on his alt whenever he sees us upset about something dont you dare try and tell me he doesnt care about us,dream streams alt whenever sees us upset something dont dare try tell doesnt care us,"['dream', 'streams', 'alt', 'whenever', 'sees', 'us', 'upset', 'something', 'dont', 'dare', 'try', 'tell', 'doesnt', 'care', 'us']",0.0,0.0,0,0,1,0
1375751756789948416,2021-03-27 10:09:13," 

“Rather than the song that’s sad it’s because wendy eonni that sang it that it caused the waves in my heart to rise…",“ rather song ’ sad ’ wendy eonni sang caused waves heart rise…,"['“', 'rather', 'song', '’', 'sad', '’', 'wendy', 'eonni', 'sang', 'caused', 'waves', 'heart', 'rise…']",1.0,-0.5,0,1,0,-1
1375751741338120194,2021-03-27 10:09:10,94 Minseok  only my last stage is left It’s sad if I had more songs I could do this for a long time but only my last song…,94 minseok last stage left ’ sad songs could long time last song…,"['94', 'minseok', 'last', 'stage', 'left', '’', 'sad', 'songs', 'could', 'long', 'time', 'last', 'song…']",0.3066666666666667,-0.11000000000000001,0,1,0,-1
1375751691010600961,2021-03-27 10:08:58,The thing is sometimes getting angry and reacting tends to backfire on you so i just had to find another relea…,thing sometimes getting angry reacting tends backfire find another relea…,"['thing', 'sometimes', 'getting', 'angry', 'reacting', 'tends', 'backfire', 'find', 'another', 'relea…']",1.0,-0.5,0,1,0,-1
1375751676452237316,2021-03-27 10:08:54,Lets leave the anger to those who have nothing to strive for,lets leave anger nothing strive,"['lets', 'leave', 'anger', 'nothing', 'strive']",0.2,-0.7,0,1,0,-1
1375751660388057092,2021-03-27 10:08:50,"Mastering emotions is selfawareness 

Not everything we encounter require our response",mastering emotions selfawareness everything encounter require response,"['mastering', 'emotions', 'selfawareness', 'everything', 'encounter', 'require', 'response']",0.0,0.0,0,0,1,0
